1x_ref,2y_ref,3rho
4.898587196589413e-16,0.0,0.125
0.06981228398699196,0.00030461548662952254,0.125
0.1396192514982686,0.0012184387488698434,0.125
0.20941558646298572,0.002741400195541921,0.125
0.27919597362000825,0.004873383847233903,0.125
0.3489550989226885,0.007614227345137614,0.125
0.4186876499435512,0.010963721963409334,0.125
0.4883883162788555,0.01492161262506464,0.125
0.5580517899530029,0.01948759792140642,0.125
0.62767276582276,0.02466133013497629,0.125
0.6972459419812658,0.03044241526603564,0.125
0.7667660201617923,0.03683041306256918,0.125
0.8362277061412282,0.04382483705381368,0.125
0.9056257101432542,0.05142515458730035,0.125
0.9749547472411803,0.059630786869424135,0.125
1.044209537760413,0.06844110900951694,0.125
1.113384807680524,0.0778554500674371,0.125
1.1824752890368855,0.0878730931046654,0.125
1.2514757203218474,0.09849327523889784,0.125
1.3203808468854217,0.1097151877021485,0.125
1.389185421335443,0.12153797590233584,0.125
1.4578842039371802,0.13396073948836307,0.125
1.5264719630123589,0.1469825324186882,0.125
1.594943475337578,0.16060236303336328,0.125
1.6632935265420752,0.1748191941295545,0.125
1.7315169115048235,0.1896319430405331,0.125
1.7996084347509205,0.20503948171811803,0.125
1.8675629108472436,0.22104063681858754,0.125
1.9353751647973423,0.23763418979202822,0.125
2.003040032435532,0.25481887697513805,0.125
2.0705523608201664,0.2725933896874535,0.125
2.137907008626055,0.2909563743310164,0.125
2.2050988465359938,0.30990643249344885,0.125
2.2721227576313816,0.3294421210544556,0.125
2.3389736377818946,0.3495619522957165,0.125
2.4056463960341854,0.37026439401418454,0.125
2.4721359549995796,0.39154786963877175,0.125
2.5384372512407376,0.4134107583504054,0.125
2.604545235657254,0.43585139520546523,0.125
2.6704548738701677,0.45886807126257256,0.125
2.73616114660535,0.4824590337127326,0.125
2.80165905007574,0.5066224860128195,0.125
2.8669435963624026,0.5313565880223861,0.125
2.932009813794379,0.5566594561438034,0.125
2.9968527473272966,0.5825291634657006,0.125
3.0614674589207187,0.6089637399097061,0.125
3.1258490279141906,0.635961172380477,0.125
3.18999255140197,0.6635194049190076,0.125
3.253893144606402,0.6916363388591931,0.125
3.3175459412499126,0.7203098329876543,0.125
3.380946093925596,0.7495377037068005,0.125
3.4440887744663615,0.779317725201115,0.125
3.5069691743126197,0.8096476296066637,0.125
3.5695825048784706,0.8405251071837991,0.125
3.6319239979163744,0.8719478064930568,0.125
3.6939889058802717,0.9039133345742263,0.125
3.755772502287127,0.9364192571285841,0.125
3.8172700820768677,0.9694630987042769,0.125
3.878476961970697,1.003042342884834,0.125
3.9393884808277377,1.0371544324808024,0.125
4.0,1.0717967697244903,0.125
4.060306903685633,1.1069667164677934,0.125
4.120304599280433,1.1426615943831013,0.125
4.17998851772759,1.1788786851672626,0.125
4.239354113865639,1.2156152307485923,0.125
4.298396866774591,1.2528684334969142,0.125
4.357112280120217,1.2906354564366076,0.125
4.415495882496465,1.3289134234626543,0.125
4.473543227765975,1.367699419559667,0.125
4.531249895398663,1.4069904910238744,0.125
4.588611490808368,1.4467836456880656,0.125
4.645623645687518,1.4870758531494461,0.125
4.702282018339785,1.5278640450004204,0.125
4.75858229401073,1.5691451150622617,0.125
4.814520185216386,1.6109159196216574,0.125
4.870091432069765,1.6531732776701187,0.125
4.925291802605266,1.6959139711462248,0.125
4.980117093100956,1.7391347451806887,0.125
5.034563128398699,1.7828323083442328,0.125
5.088625762222112,1.82700333289824,0.125
5.142300877492314,1.871644455048176,0.125
5.195584386641469,1.9167522751997526,0.125
5.248472231924058,1.9623233582178239,0.125
5.3009603857259,2.0083542336879825,0.125
5.353044850870866,2.054841396180846,0.125
5.404721660925282,2.101781305519008,0.125
5.455986880499988,2.1491703870466363,0.125
5.506836605550031,2.197005031901699,0.125
5.557266963671978,2.2452815972907905,0.125
5.607274114398807,2.2939964067665475,0.125
5.65685424949238,2.3431457505076194,0.125
5.7060035932334525,2.392725885601193,0.125
5.754718402709209,2.442733036328022,0.125
5.802994968098301,2.493163394449968,0.125
5.850829612953364,2.544013119500012,0.125
5.898218694480993,2.595278339074718,0.125
5.945158603819154,2.646955149129134,0.125
5.991645766312017,2.6990396142741,0.125
6.037676641782176,2.751527768075942,0.125
6.0832477248002474,2.8044156133585307,0.125
6.128355544951824,2.857699122507685,0.125
6.17299666710176,2.9113742377778884,0.125
6.217167691655767,2.9654368716013,0.125
6.260865254819311,3.019882906899044,0.125
6.304086028853776,3.0747081973947337,0.125
6.346826722329881,3.1299085679302348,0.125
6.389084080378343,3.185479814783613,0.125
6.430854884937738,3.241417705989269,0.125
6.47213595499958,3.297717981660215,0.125
6.512924146850554,3.354376354312482,0.125
6.553216354311934,3.4113885091916307,0.125
6.593009508976126,3.4687501046013374,0.125
6.632300580440334,3.5264567722340256,0.125
6.671086576537346,3.584504117503535,0.125
6.709364543563392,3.6428877198797833,0.125
6.747131566503086,3.701603133225409,0.125
6.784384769251408,3.760645886134361,0.125
6.821121314832737,3.8200114822724087,0.125
6.857338405616899,3.8796954007195668,0.125
6.893033283532206,3.9396930963143664,0.125
6.928203230275509,3.999999999999999,0.125
6.962845567519198,4.060611519172264,0.125
6.996957657115166,4.121523038029304,0.125
7.030536901295723,4.182729917923133,0.125
7.063580742871415,4.244227497712874,0.125
7.096086665425774,4.306011094119729,0.125
7.128052193506942,4.368076002083626,0.125
7.159474892816201,4.43041749512153,0.125
7.190352370393336,4.493030825687381,0.125
7.220682274798884,4.555911225533638,0.125
7.2504622962931995,4.619053906074404,0.125
7.279690167012346,4.682454058750087,0.125
7.308363661140807,4.746106855393599,0.125
7.336480595080992,4.81000744859803,0.125
7.364038827619523,4.874150972085811,0.125
7.391036260090294,4.938532541079281,0.125
7.417470836534299,5.003147252672704,0.125
7.443340543856197,5.067990186205622,0.125
7.468643411977614,5.133056403637598,0.125
7.4933775139871805,5.19834094992426,0.125
7.5175409662872665,5.263838853394649,0.125
7.541131928737427,5.329545126129833,0.125
7.564148604794534,5.395454764342746,0.125
7.586589241649595,5.461562748759263,0.125
7.608452130361228,5.52786404500042,0.125
7.6297356059858155,5.594353603965816,0.125
7.6504380477042835,5.661026362218106,0.125
7.670557878945544,5.727877242368619,0.125
7.690093567506551,5.794901153464007,0.125
7.709043625668984,5.862092991373945,0.125
7.7274066103125465,5.929447639179834,0.125
7.745181123024862,5.996959967564468,0.125
7.762365810207972,6.064624835202659,0.125
7.7789593631814125,6.132437089152756,0.125
7.794960518281882,6.200391565249081,0.125
7.810368056959467,6.268483088495177,0.125
7.825180805870445,6.336706473457925,0.125
7.839397636966637,6.405056524662422,0.125
7.853017467581312,6.473528036987641,0.125
7.866039260511637,6.54211579606282,0.125
7.878462024097664,6.610814578664558,0.125
7.8902848122978515,6.679619153114579,0.125
7.901506724761102,6.748524279678152,0.125
7.912126906895335,6.8175247109631165,0.125
7.922144549932563,6.886615192319477,0.125
7.931558890990483,6.955790462239587,0.125
7.940369213130576,7.0250452527588205,0.125
7.9485748454127,7.094374289856745,0.125
7.956175162946186,7.163772293858774,0.125
7.96316958693743,7.233233979838207,0.125
7.969557584733964,7.302754058018735,0.125
7.975338669865024,7.37232723417724,0.125
7.980512402078594,7.4419482100469985,0.125
7.985078387374935,7.511611683721146,0.125
7.989036278036591,7.581312350056449,0.125
7.992385772654862,7.651044901077313,0.125
7.995126616152766,7.720804026379993,0.125
7.997258599804458,7.790584413537016,0.125
7.99878156125113,7.860380748501732,0.125
7.9996953845133705,7.93018771601301,0.125
8.0,8.0,0.125
8.000380769358287,8.087265354983737,-0.1
8.001523048436088,8.174524064372836,-0.1
8.00342675024443,8.261769483078732,-0.1
8.006091729809043,8.348994967025009,-0.1
8.009517784181423,8.436193873653359,-0.1
8.013704652454262,8.523359562429436,-0.1
8.018652015781331,8.610485395348569,-0.1
8.024359497401758,8.697564737441253,-0.1
8.030826662668723,8.784590957278448,-0.1
8.038053019082547,8.87155742747658,-0.1
8.046038016328211,8.958457525202242,-0.1
8.054781046317267,9.045284632676536,-0.1
8.064281443234126,9.132032137679067,-0.1
8.074538483586778,9.218693434051474,-0.1
8.085551386261894,9.305261922200513,-0.1
8.097319312584297,9.391731009600655,-0.1
8.10984136638083,9.478094111296105,-0.1
8.123116594048621,9.564344650402308,-0.1
8.137143984627684,9.650476058606774,-0.1
8.15192246987792,9.736481776669304,-0.1
8.167450924360452,9.822355254921474,-0.1
8.183728165523362,9.908089953765447,-0.1
8.200752953791703,9.99367934417197,-0.1
8.218523992661943,10.079116908177596,-0.1
8.237039928800666,10.16439613938103,-0.1
8.25629935214765,10.24951054343865,-0.1
8.276300796023236,10.334453638559053,-0.1
8.297042737240034,10.419218955996675,-0.1
8.318523596218924,10.503800040544416,-0.1
8.340741737109319,10.588190451025207,-0.1
8.363695467913772,10.672383760782568,-0.1
8.387383040616811,10.75637355816999,-0.1
8.41180265131807,10.840153447039228,-0.1
8.436952440369645,10.923717047227367,-0.1
8.462830492517732,11.00705799504273,-0.1
8.489434837048464,11.090169943749473,-0.1
8.516763447938004,11.17304656405092,-0.1
8.544814244006833,11.255681544571567,-0.1
8.573585089078215,11.33806859233771,-0.1
8.603073792140915,11.420201433256686,-0.1
8.633278107516023,11.502073812594674,-0.1
8.664195735027981,11.583679495453005,-0.1
8.695824320179753,11.665012267242973,-0.1
8.728161454332124,11.74606593415912,-0.1
8.761204674887132,11.826834323650896,-0.1
8.794951465475599,11.907311284892735,-0.1
8.829399256148761,11.987490689252464,-0.1
8.864545423573993,12.067366430758003,-0.1
8.900387291234566,12.14693242656239,-0.1
8.936922129633501,12.226182617406993,-0.1
8.974147156501395,12.305110968082953,-0.1
9.01205953700833,12.383711467890775,-0.1
9.05065638397975,12.461978131098087,-0.1
9.089934758116321,12.539904997395467,-0.1
9.12989166821778,12.617486132350336,-0.1
9.170524071410732,12.694715627858908,-0.1
9.211828873380348,12.771587602596085,-0.1
9.253802928606042,12.84809620246337,-0.1
9.296443040601002,12.92423560103467,-0.1
9.339745962155614,13.0,-0.1
9.38370839558474,13.075383629607042,-0.1
9.428326992978874,13.150380749100542,-0.1
9.473598356459078,13.224985647159487,-0.1
9.519519038435739,13.299192642332049,-0.1
9.566085541871146,13.372996083468239,-0.1
9.613294320545759,13.44639035015027,-0.1
9.661141779328318,13.519369853120581,-0.1
9.709624274449581,13.591929034707466,-0.1
9.758738113779842,13.66406236924833,-0.1
9.808479557110083,13.735764363510462,-0.1
9.858844816436807,13.807029557109399,-0.1
9.909830056250524,13.87785252292473,-0.1
9.961431393827823,13.948227867513411,-0.1
10.013644899527073,14.018150231520483,-0.1
10.066466597087647,14.087614290087206,-0.1
10.119892463932779,14.156614753256582,-0.1
10.173918431475862,14.225146366376194,-0.1
10.228540385430293,14.293203910498377,-0.1
10.283754166122801,14.360782202777639,-0.1
10.33955556881022,14.427876096865393,-0.1
10.39594034399969,14.494480483301835,-0.1
10.452904197772277,14.56059028990507,-0.1
10.510442792109977,14.626200482157376,-0.1
10.56855174522606,14.691306063588582,-0.1
10.627226631898758,14.755902076156602,-0.1
10.686462983808294,14.819983600624983,-0.1
10.746256289877124,14.883545756937542,-0.1
10.806601996613487,14.946583704589973,-0.1
10.867495508458184,15.009092642998509,-0.1
10.928932188134524,15.071067811865476,-0.1
10.99090735700149,15.132504491541813,-0.1
11.053416295410027,15.193398003386513,-0.1
11.11645424306246,15.253743710122876,-0.1
11.180016399375013,15.313537016191704,-0.1
11.244097923843398,15.372773368101239,-0.1
11.30869393641142,15.431448254773944,-0.1
11.373799517842624,15.489557207890023,-0.1
11.439409710094928,15.54709580222772,-0.1
11.505519516698165,15.604059656000311,-0.1
11.572123903134603,15.660444431189779,-0.1
11.639217797222361,15.716245833877199,-0.1
11.706796089501623,15.771459614569705,-0.1
11.774853633623803,15.826081568524138,-0.1
11.84338524674342,15.880107536067221,-0.1
11.91238570991279,15.93353340291235,-0.1
11.981849768479517,15.986355100472927,-0.1
12.051772132486583,16.03856860617217,-0.1
12.122147477075266,16.090169943749473,-0.1
12.192970442890603,16.141155183563193,-0.1
12.264235636489536,16.191520442889917,-0.1
12.335937630751673,16.24126188622016,-0.1
12.408070965292534,16.29037572555042,-0.1
12.480630146879417,16.338858220671682,-0.1
12.55360964984973,16.38670567945424,-0.1
12.627003916531757,16.433914458128854,-0.1
12.70080735766795,16.48048096156426,-0.1
12.775014352840515,16.526401643540922,-0.1
12.849619250899455,16.571673007021122,-0.1
12.92461637039296,16.61629160441526,-0.1
12.999999999999996,16.660254037844382,-0.1
13.075764398965328,16.703556959398995,-0.1
13.151903797536631,16.746197071393958,-0.1
13.228412397403913,16.788171126619652,-0.1
13.305284372141092,16.829475928589268,-0.1
13.382513867649656,16.870108331782212,-0.1
13.46009500260453,16.91006524188368,-0.1
13.538021868901915,16.94934361602025,-0.1
13.616288532109223,16.987940462991666,-0.1
13.694889031917048,17.025852843498605,-0.1
13.773817382593009,17.0630778703665,-0.1
13.853067573437608,17.09961270876543,-0.1
13.932633569242,17.13545457642601,-0.1
14.012509310747534,17.17060074385124,-0.1
14.092688715107261,17.2050485345244,-0.1
14.173165676349104,17.238795325112868,-0.1
14.253934065840877,17.271838545667872,-0.1
14.334987732757028,17.304175679820247,-0.1
14.416320504546993,17.335804264972015,-0.1
14.497926187405323,17.366721892483977,-0.1
14.579798566743314,17.396926207859085,-0.1
14.661931407662287,17.426414910921785,-0.1
14.744318455428434,17.45518575599317,-0.1
14.826953435949074,17.483236552061992,-0.1
14.909830056250524,17.510565162951536,-0.1
14.992942004957271,17.537169507482268,-0.1
15.07628295277263,17.563047559630355,-0.1
15.159846552960774,17.58819734868193,-0.1
15.243626441830012,17.61261695938319,-0.1
15.327616239217429,17.63630453208623,-0.1
15.411809548974794,17.65925826289068,-0.1
15.49619995945558,17.681476403781076,-0.1
15.580781044003322,17.702957262759966,-0.1
15.66554636144095,17.723699203976764,-0.1
15.750489456561347,17.74370064785235,-0.1
15.835603860618972,17.762960071199334,-0.1
15.920883091822402,17.781476007338057,-0.1
16.006320655828027,17.799247046208293,-0.1
16.091910046234553,17.816271834476638,-0.1
16.177644745078524,17.832549075639545,-0.1
16.2635182233307,17.84807753012208,-0.1
16.349523941393226,17.862856015372316,-0.1
16.43565534959769,17.876883405951375,-0.1
16.521905888703895,17.89015863361917,-0.1
16.608268990399342,17.902680687415703,-0.1
16.694738077799485,17.914448613738102,-0.1
16.781306565948526,17.925461516413222,-0.1
16.86796786232093,17.935718556765874,-0.1
16.954715367323466,17.945218953682733,-0.1
17.041542474797758,17.95396198367179,-0.1
17.12844257252342,17.961946980917453,-0.1
17.215409042721554,17.969173337331277,-0.1
17.302435262558745,17.975640502598242,-0.1
17.38951460465143,17.981347984218672,-0.1
17.47664043757056,17.986295347545738,-0.1
17.56380612634664,17.990482215818577,-0.1
17.651005032974993,17.993908270190957,-0.1
17.738230516921263,17.99657324975557,-0.1
17.825475935627164,17.998476951563912,-0.1
17.912734645016265,17.999619230641713,-0.1
18.0,18.0,-0.1
18.104718425980487,18.000456923229944,0.08333333333333333
18.209428877247404,18.001827658123304,0.08333333333333333
18.31412337969448,18.004112100293312,0.08333333333333333
18.418793960430012,18.007310075770853,0.08333333333333333
18.523432648384034,18.01142134101771,0.08333333333333333
18.62803147491533,18.016445582945114,0.08333333333333333
18.732582474418283,18.022382418937596,0.08333333333333333
18.837077684929504,18.02923139688211,0.08333333333333333
18.94150914873414,18.036991995202463,0.08333333333333333
19.045868912971898,18.045663622899053,0.08333333333333333
19.150149030242687,18.055245619593855,0.08333333333333333
19.25434155921184,18.06573725558072,0.08333333333333333
19.358438565214882,18.077137731880953,0.08333333333333333
19.46243212086177,18.089446180304137,0.08333333333333333
19.56631430664062,18.102661663514276,0.08333333333333333
19.670077211520788,18.116783175101155,0.08333333333333333
19.773712933555327,18.131809639657,0.08333333333333333
19.87721358048277,18.14773991285835,0.08333333333333333
19.98057127032813,18.164572781553222,0.08333333333333333
20.083778132003165,18.182306963853506,0.08333333333333333
20.18682630590577,18.200941109232545,0.08333333333333333
20.28970794451854,18.22047379862803,0.08333333333333333
20.392415213006366,18.240903544550044,0.08333333333333333
20.494940289813112,18.26222879119433,0.08333333333333333
20.597275367257236,18.2844479145608,0.08333333333333333
20.69941265212638,18.307559222577176,0.08333333333333333
20.801344366270865,18.331560955227882,0.08333333333333333
20.903062747196014,18.356451284688042,0.08333333333333333
21.004560048653296,18.382228315462708,0.08333333333333333
21.10582854123025,18.40889008453118,0.08333333333333333
21.206860512939084,18.436434561496526,0.08333333333333333
21.30764826980399,18.464859648740173,0.08333333333333333
21.408184136447073,18.494163181581683,0.08333333333333333
21.508460456672843,18.524342928443573,0.08333333333333333
21.60846959405128,18.555396591021278,0.08333333333333333
21.70820393249937,18.587321804458156,0.08333333333333333
21.807655876861105,18.620116137525606,0.08333333333333333
21.906817853485883,18.6537770928082,0.08333333333333333
22.005682310805252,18.688302106893858,0.08333333333333333
22.104241719908025,18.7236885505691,0.08333333333333333
22.20248857511361,18.75993372901923,0.08333333333333333
22.300415394543606,18.79703488203358,0.08333333333333333
22.39801472069157,18.834989184215704,0.08333333333333333
22.495279120990944,18.87379374519855,0.08333333333333333
22.59220118838108,18.91344560986456,0.08333333333333333
22.688773541871285,18.953941758570714,0.08333333333333333
22.784988827102957,18.99527910737851,0.08333333333333333
22.880839716909605,19.03745450828879,0.08333333333333333
22.97631891187487,19.080464749481482,0.08333333333333333
23.071419140888395,19.124306555560203,0.08333333333333333
23.16613316169954,19.168976587801673,0.08333333333333333
23.26045376146893,19.214471444409995,0.08333333333333333
23.354373757317706,19.260787660775698,0.08333333333333333
23.44788599687456,19.307921709739585,0.08333333333333333
23.54098335882041,19.35587000186134,0.08333333333333333
23.63365875343069,19.404628885692876,0.08333333333333333
23.725905123115304,19.454194648056415,0.08333333333333333
23.817715442956047,19.504563514327252,0.08333333333333333
23.909082721241607,19.555731648721203,0.08333333333333333
24.0,19.607695154586736,0.08333333333333333
24.09046035552845,19.66045007470169,0.08333333333333333
24.18045689892065,19.713992391574653,0.08333333333333333
24.269982776591387,19.768318027750894,0.08333333333333333
24.35903117079846,19.823422846122888,0.08333333333333333
24.447595300161886,19.87930265024537,0.08333333333333333
24.535668420180325,19.935953184654913,0.08333333333333333
24.623243823744698,19.99337013519398,0.08333333333333333
24.710314841648962,20.0515491293395,0.08333333333333333
24.796874843097996,20.11048573653581,0.08333333333333333
24.882917236212553,20.1701754685321,0.08333333333333333
24.96843546853128,20.23061377972417,0.08333333333333333
25.05342302750968,20.29179606750063,0.08333333333333333
25.137873441016097,20.35371767259339,0.08333333333333333
25.22178027782458,20.416373879432484,0.08333333333333333
25.30513714810465,20.479759916505177,0.08333333333333333
25.3879377039079,20.54387095671934,0.08333333333333333
25.470175639651437,20.60870211777103,0.08333333333333333
25.55184469259805,20.67424846251635,0.08333333333333333
25.63293864333317,20.74050499934736,0.08333333333333333
25.713451316238473,20.80746668257226,0.08333333333333333
25.793376579962207,20.87512841279963,0.08333333333333333
25.87270834788609,20.943485037326738,0.08333333333333333
25.95144057858885,21.012531350531972,0.08333333333333333
26.0295672763063,21.082262094271268,0.08333333333333333
26.10708249138792,21.15267195827851,0.08333333333333333
26.18398032074998,21.223755580569954,0.08333333333333333
26.260254908325045,21.295507547852548,0.08333333333333333
26.335900445507967,21.367922395936183,0.08333333333333333
26.41091117159821,21.440994610149822,0.08333333333333333
26.485281374238568,21.51471862576143,0.08333333333333333
26.559005389850178,21.58908882840179,0.08333333333333333
26.632077604063813,21.664099554492033,0.08333333333333333
26.704492452147452,21.73974509167495,0.08333333333333333
26.776244419430046,21.81601967925002,0.08333333333333333
26.84732804172149,21.89291750861208,0.08333333333333333
26.917737905728732,21.9704327236937,0.08333333333333333
26.987468649468024,22.048559421411152,0.08333333333333333
27.056514962673262,22.127291652113914,0.08333333333333333
27.12487158720037,22.206623420037797,0.08333333333333333
27.19253331742774,22.286548683761527,0.08333333333333333
27.25949500065264,22.367061356666834,0.08333333333333333
27.32575153748365,22.44815530740195,0.08333333333333333
27.39129788222897,22.529824360348567,0.08333333333333333
27.456129043280665,22.612062296092102,0.08333333333333333
27.520240083494823,22.69486285189535,0.08333333333333333
27.583626120567516,22.77821972217542,0.08333333333333333
27.64628232740661,22.862126558983903,0.08333333333333333
27.70820393249937,22.946576972490323,0.08333333333333333
27.76938622027583,23.031564531468725,0.08333333333333333
27.8298245314679,23.117082763787447,0.08333333333333333
27.88951426346419,23.203125156902008,0.08333333333333333
27.9484508706605,23.28968515835104,0.08333333333333333
28.00662986480602,23.376756176255302,0.08333333333333333
28.064046815345087,23.464331579819675,0.08333333333333333
28.12069734975463,23.552404699838114,0.08333333333333333
28.176577153877112,23.64096882920154,0.08333333333333333
28.231681972249106,23.730017223408613,0.08333333333333333
28.286007608425347,23.81954310107935,0.08333333333333333
28.339549925298307,23.90953964447155,0.08333333333333333
28.392304845413264,24.0,0.08333333333333333
28.444268351278797,24.090917278758397,0.08333333333333333
28.495436485672748,24.182284557043957,0.08333333333333333
28.545805351943585,24.2740948768847,0.08333333333333333
28.59537111430712,24.36634124656931,0.08333333333333333
28.64412999813866,24.459016641179595,0.08333333333333333
28.69207829026041,24.55211400312544,0.08333333333333333
28.739212339224302,24.645626242682297,0.08333333333333333
28.785528555590005,24.73954623853107,0.08333333333333333
28.831023412198327,24.83386683830046,0.08333333333333333
28.875693444439797,24.92858085911161,0.08333333333333333
28.919535250518518,25.02368108812513,0.08333333333333333
28.96254549171121,25.119160283090398,0.08333333333333333
29.00472089262149,25.215011172897047,0.08333333333333333
29.046058241429286,25.311226458128715,0.08333333333333333
29.08655439013544,25.407798811618925,0.08333333333333333
29.12620625480145,25.504720879009056,0.08333333333333333
29.165010815784296,25.601985279308433,0.08333333333333333
29.20296511796642,25.699584605456398,0.08333333333333333
29.24006627098077,25.79751142488639,0.08333333333333333
29.2763114494309,25.895758280091975,0.08333333333333333
29.311697893106142,25.99431768919475,0.08333333333333333
29.3462229071918,26.09318214651412,0.08333333333333333
29.379883862474394,26.192344123138895,0.08333333333333333
29.412678195541844,26.29179606750063,0.08333333333333333
29.444603408978722,26.391530405948725,0.08333333333333333
29.475657071556427,26.49153954332716,0.08333333333333333
29.505836818418317,26.591815863552927,0.08333333333333333
29.535140351259827,26.69235173019601,0.08333333333333333
29.563565438503474,26.793139487060916,0.08333333333333333
29.59110991546882,26.89417145876975,0.08333333333333333
29.617771684537292,26.995439951346704,0.08333333333333333
29.643548715311958,27.09693725280399,0.08333333333333333
29.668439044772118,27.198655633729135,0.08333333333333333
29.692440777422824,27.30058734787362,0.08333333333333333
29.7155520854392,27.402724632742764,0.08333333333333333
29.73777120880567,27.505059710186888,0.08333333333333333
29.759096455449956,27.607584786993634,0.08333333333333333
29.77952620137197,27.71029205548146,0.08333333333333333
29.799058890767455,27.813173694094232,0.08333333333333333
29.817693036146494,27.916221867996835,0.08333333333333333
29.835427218446778,28.01942872967187,0.08333333333333333
29.85226008714165,28.12278641951723,0.08333333333333333
29.868190360343,28.226287066444673,0.08333333333333333
29.883216824898845,28.329922788479216,0.08333333333333333
29.897338336485724,28.43368569335938,0.08333333333333333
29.910553819695863,28.53756787913823,0.08333333333333333
29.922862268119047,28.641561434785118,0.08333333333333333
29.93426274441928,28.74565844078816,0.08333333333333333
29.944754380406145,28.849850969757313,0.08333333333333333
29.954336377100947,28.954131087028102,0.08333333333333333
29.963008004797537,29.058490851265862,0.08333333333333333
29.97076860311789,29.1629223150705,0.08333333333333333
29.977617581062404,29.267417525581717,0.08333333333333333
29.983554417054886,29.37196852508467,0.08333333333333333
29.98857865898229,29.47656735161597,0.08333333333333333
29.992689924229147,29.581206039569988,0.08333333333333333
